,Name,Team,XPM,XPA,FGM,FGA,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
0,H.Butker,Kansas City Chiefs,1,2,3,3,922,Atlanta Falcons,0,Mercedes-Benz,indoors,turf,86,54,8,2,Clear
1,Y.Koo,Atlanta Falcons,2,2,1,1,922,Kansas City Chiefs,1,Mercedes-Benz,indoors,turf,86,54,8,2,Clear
2,J.Moody,San Francisco 49ers,3,3,1,2,922,Los Angeles Rams,0,SoFi,indoors,turf,70,61,6,0,Clear
3,J.Karty,Los Angeles Rams,3,3,2,2,922,San Francisco 49ers,1,SoFi,indoors,turf,70,61,6,0,Clear
4,J.Elliott,Philadelphia Eagles,1,1,0,1,922,New Orleans Saints,0,Caesars Superdome,indoors,turf,87,68,7,1,Mostly Cloudy
5,B.Grupe,New Orleans Saints,0,0,2,2,922,Philadelphia Eagles,1,Caesars Superdome,indoors,turf,87,68,7,1,Mostly Cloudy
6,W.Lutz,Denver Broncos,2,2,4,4,922,Tampa Bay Buccaneers,0,Raymond James,outdoors,grass,85,59,5,10,Partly Cloudy
7,C.McLaughlin,Tampa Bay Buccaneers,1,1,0,0,922,Denver Broncos,1,Raymond James,outdoors,grass,85,59,5,10,Partly Cloudy
8,G.Joseph,New York Giants,3,3,0,1,922,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,80,54,6,2,Clear
9,D.Hopkins,Cleveland Browns,1,1,0,1,922,New York Giants,1,Huntington Bank Field,outdoors,grass,80,54,6,2,Clear
10,E.Pineiro,Carolina Panthers,3,3,3,3,922,Las Vegas Raiders,0,Allegiant,indoors,grass,85,18,5,1,Clear
11,D.Carlson,Las Vegas Raiders,2,2,0,1,922,Carolina Panthers,1,Allegiant,indoors,grass,85,18,5,1,Clear
12,J.Bates,Detroit Lions,2,3,0,0,922,Arizona Cardinals,0,State Farm,indoors,grass,91,18,11,0,Mostly Cloudy
13,M.Prater,Arizona Cardinals,1,1,2,2,922,Detroit Lions,1,State Farm,indoors,grass,91,18,11,0,Mostly Cloudy
14,B.Narveson,Green Bay Packers,3,3,3,3,922,Tennessee Titans,0,Nissan,outdoors,grass,88,59,11,24,Mostly Cloudy
15,N.Folk,Tennessee Titans,2,2,0,0,922,Green Bay Packers,1,Nissan,outdoors,grass,88,59,11,24,Mostly Cloudy
16,C.Dicker,Los Angeles Chargers,1,1,1,1,922,Pittsburgh Steelers,0,Acrisure,outdoors,grass,72,56,8,1,Clear
17,C.Boswell,Pittsburgh Steelers,2,2,2,3,922,Los Angeles Chargers,1,Acrisure,outdoors,grass,72,56,8,1,Clear
18,J.Sanders,Miami Dolphins,0,0,1,2,922,Seattle Seahawks,0,Lumen Field,outdoors,turf,66,65,0,7,Clear
19,J.Myers,Seattle Seahawks,3,3,1,2,922,Miami Dolphins,1,Lumen Field,outdoors,turf,66,65,0,7,Clear
20,J.Tucker,Baltimore Ravens,4,4,0,1,922,Dallas Cowboys,0,AT&amp;T,indoors,turf,91,41,6,11,Clear
21,B.Aubrey,Dallas Cowboys,1,1,2,2,922,Baltimore Ravens,1,AT&amp;T,indoors,turf,91,41,6,11,Clear
22,K.Fairbairn,Houston Texans,1,1,0,1,922,Minnesota Vikings,0,U.S. Bank,indoors,turf,66,50,13,0,Partly Cloudy
23,W.Reichard,Minnesota Vikings,4,4,2,2,922,Houston Texans,1,U.S. Bank,indoors,turf,66,50,13,0,Partly Cloudy
24,C.Santos,Chicago Bears,1,1,1,2,922,Indianapolis Colts,0,Lucas Oil,indoors,turf,71,77,7,64,Rain
25,M.Gay,Indianapolis Colts,3,3,0,0,922,Chicago Bears,1,Lucas Oil,indoors,turf,71,77,7,64,Rain
